source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775449515,2026-04-06T04:25:14.000Z,0,node_1,2026-04-06T04:25:14.000Z,4664332,35.89001,40.74165,0,13.5991,85.68929,0.913729,-0.057983,60,
node_data_0v3,node_1_1775449805,2026-04-06T04:29:14.000Z,0,node_1,2026-04-06T04:26:14.000Z,4724332,35.90667,42.20001,0,13.59458,87.73599,0.914521,-0.06307,60,
node_data_0v3,node_1_1775449805,2026-04-06T04:29:14.000Z,1,node_1,2026-04-06T04:27:14.000Z,4784332,35.94001,40.89832,0,13.59292,85.00366,0.914729,-0.061035,60,
node_data_0v3,node_1_1775449805,2026-04-06T04:29:14.000Z,2,node_1,2026-04-06T04:28:14.000Z,4844331,35.88335,39.68999,0,13.59017,84.95483,0.913437,-0.06307,60,
node_data_0v3,node_1_1775449805,2026-04-06T04:29:14.000Z,3,node_1,2026-04-06T04:29:14.000Z,4904333,35.85835,40.15499,0,13.58819,85.5601,0.91325,-0.059001,60,
node_data_0v3,node_1_1775450055,2026-04-06T04:34:14.000Z,0,node_1,2026-04-06T04:30:14.000Z,4964331,35.88334,40.66166,0,13.58321,88.11239,0.912562,-0.062052,60,
node_data_0v3,node_1_1775450055,2026-04-06T04:34:14.000Z,1,node_1,2026-04-06T04:31:14.000Z,5024332,35.93834,41.76168,0,13.58183,85.93038,0.912396,-0.064087,60,
node_data_0v3,node_1_1775450055,2026-04-06T04:34:14.000Z,2,node_1,2026-04-06T04:32:14.000Z,5084332,36.02166,43.21167,0,13.57864,86.04126,0.911521,-0.064087,60,
node_data_0v3,node_1_1775450055,2026-04-06T04:34:14.000Z,3,node_1,2026-04-06T04:33:14.000Z,5144332,36.14331,42.595,0,13.57548,86.21725,0.911625,-0.068156,60,
node_data_0v3,node_1_1775450055,2026-04-06T04:34:14.000Z,4,node_1,2026-04-06T04:34:14.000Z,5204331,36.16166,42.51167,0,13.57379,83.6202,0.911375,-0.056966,60,
node_data_0v3,node_1_1775450115,2026-04-06T04:35:14.000Z,0,node_1,2026-04-06T04:35:14.000Z,5264332,36.17832,41.515,0,13.57041,87.86519,0.911437,-0.068156,60,
node_data_0v3,node_1_1775450405,2026-04-06T04:39:14.000Z,0,node_1,2026-04-06T04:36:14.000Z,5324332,36.16165,41.09,0,13.56723,87.27112,0.912167,-0.061035,60,
node_data_0v3,node_1_1775450405,2026-04-06T04:39:14.000Z,1,node_1,2026-04-06T04:37:14.000Z,5384332,36.17332,42.10833,0,13.56429,88.57726,0.911042,-0.061035,60,
